SMILES,res,interactive Donar electrons count,interactive Acceptore electrons count,negative ionizable electrones count,positive_ionizable electrons counts,H_zeff,B_zeff,C_zeff,N_zeff,O_zeff,Cl_zeff,Br_zeff,I_zeff,F_zeff,Na_zeff,Mn_zeff,S_zeff,P_zeff,Ca_zeff,K_zeff,Fe_zeff,Co_zeff,Cu_zeff,Ni_zeff,Au_zeff,Pt_zeff,Si_zeff,T(S_e-)_p,T(P_e-)_p,T(D_e-)_p,T(F_e-)_p,T(Mo_e-)_p,T(Mo_Val_e-)_p,N_(fA),C_(fA),O_(fA),H_(fA)
Cc1ccc(C)c(c1)N(=O)=O,1,9,15,37,30,9.18,0.0,6.272,3.834,8.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,27,0,0,71,39,-0.0042962898536694,7.124527866749179e-05,-0.0005433114835131,3.188324915067154e-05
O=N(=O)c1ccc(C=C(C#N)C#N)o1,1,13,28,46,18,3.06,0.0,12.544,11.502,8.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,37,0,0,93,47,0.0024756805629032,0.0004961376584833,-0.0006128582928599,1.1673935274327608e-05
Oc1ccc(Nc2ccc(cc2N(=O)=O)N(=O)=O)cc1,1,19,25,47,18,9.18,0.0,0.0,11.502,22.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,53,0,0,133,67,-0.0045596780473415,0.0001975912511374,-0.0004888687312499,2.4670935766181532e-05
CCC(=N(=O)O)C(C)O,0,17,25,33,20,11.22,0.0,15.68,3.834,13.359000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,25,0,0,61,29,-0.0082487887547285,0.0003411576569861,-0.0014365858819161,7.771023330819611e-05
O=N(=O)c1ccc2ccc3ccc(cc3c2c1)N(=O)=O,1,9,15,37,18,8.16,0.0,0.0,7.668,17.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,50,0,0,130,70,-0.0024074251274935,9.44397793101505e-05,-0.0003451317023237,1.4804415019929424e-05
O=N(=O)c1ccc2ccc3c(c4ccccc4c4ccc1c2c34)N(=O)=O,1,9,15,37,18,10.2,0.0,0.0,7.668,17.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104,62,0,0,166,94,-0.0029026231233622,4.166867316279373e-05,-0.0002119084741893,1.086803281317592e-05
Clc1ccc(cc1N(=O)=O)N(=O)=O,1,12,16,37,18,3.06,0.0,3.136,7.668,17.812,6.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,45,0,0,99,39,0.0024573213926549,0.0003407855488753,-0.0006077961730973,1.0343617119390106e-05
Cc1ncc(n1CCO)N(=O)=O,1,16,25,47,30,9.18,0.0,9.408,3.834,13.359000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,33,0,0,81,39,-0.0047676255445566,0.0005370356177951,-0.0009087253946351,4.661471030960084e-05
Oc1ccccc1N(=O)=O,0,16,25,47,18,5.1,0.0,0.0,3.834,13.359000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,27,0,0,67,33,-0.0051269219662833,0.0003703599508018,-0.001264627271569,5.737681492020337e-05
O=n1cccc2ccccc12,0,8,15,23,8,7.140000000000001,0.0,0.0,0.0,4.453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,25,0,0,69,41,-0.0068072034161673,0.0002222808264735,-0.0007052208866396,5.040707181399128e-05
O=N(=O)c1ccccc1,0,9,15,37,18,5.1,0.0,0.0,3.834,8.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,23,0,0,59,31,-0.004261089614745,0.0001522456658165,-0.0008191161345851,4.312734866291896e-05
OC(C(COC(=O)CCC(=O)O)N=C(O)C(Cl)Cl)c1ccc(cc1)N(=O)=O,0,21,50,55,30,16.32,0.0,34.496,7.668,35.624,12.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112,90,0,0,202,84,-0.0041129128386198,0.0001660358880024,-0.0003835670453373,1.767540124602496e-05
O=N(=O)c1cnc2c(c1)nc1ccccn21,1,9,15,37,18,6.12,0.0,0.0,3.834,8.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,40,0,0,104,56,-0.0027170766807728,0.0002961775401531,-0.0002705645045877,1.913965491755809e-05
Fc1ccc(NC(=O)c2csc(c2)N(=O)=O)cc1,1,16,34,47,18,7.140000000000001,0.0,3.136,7.668,13.359000000000002,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,55,0,0,129,59,-0.0021269147846112,0.0001866195368615,-0.0002658896432791,1.6287335030450978e-05
Cc1c(C)c(c(c(c1C)N(=O)=O)C(C)(C)C)N(=O)=O,0,9,15,37,30,18.36,0.0,21.952,7.668,17.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,48,0,0,124,66,-0.0016375117146743,0.0001113740813871,-0.0003501052318762,1.3236672938511564e-05
CC(CON(=O)=O)(CON(=O)=O)CON(=O)=O,0,8,24,46,40,9.18,0.0,15.68,11.502,40.077000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68,55,0,0,123,47,0.0003009214862322,8.33575568842752e-05,-0.0005878036771162,1.2599265547930336e-05
O=N(=O)OC1COC2C(COC12)ON(=O)=O,0,8,24,46,40,8.16,0.0,18.816000000000003,7.668,35.624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,50,0,0,114,46,0.0005604361696809,0.0002264964069386,-0.0007699840324808,1.7856551913476424e-05
FC(F)(F)c1ccc(Cl)c(c1)N(=O)=O,0,15,16,37,30,3.06,0.0,6.272,3.834,8.906,6.116,0.0,0.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,51,0,0,109,39,0.0045454109836554,0.0002953602838691,-0.0002449142347353,7.796655650887104e-06
CNN(=O)=O,0,11,15,37,30,4.08,0.0,3.136,7.668,8.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,16,0,0,36,14,-0.0101927554035383,0.0002015544565289,-0.0019501181807217,0.000135574093816
CCN(CCON(=O)=O)N(=O)=O,1,8,24,46,40,9.18,0.0,12.544,11.502,22.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,37,0,0,85,35,-0.0021496591977192,0.0001438359259849,-0.0007477734835905,2.594736643523285e-05
Nc1nc(nc2n(cnc12)-c1ccc(cc1)N(=O)=O)-c1ccc(cc1)N(=O)=O,1,13,15,37,18,11.22,0.0,0.0,11.502,17.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112,71,0,0,183,97,-0.003959366015054,0.0001602913245668,-0.0001743926291081,1.3430762746898531e-05
Nc1cc(cc(c1O)S(=O)(=O)O)N(=O)=O,0,23,54,52,34,6.12,0.0,0.0,7.668,26.718000000000004,0.0,0.0,0.0,0.0,0.0,0.0,5.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,52,0,0,114,48,-0.0036802949317799,0.0002441869987953,-0.0007410943729637,3.590845565073186e-05
Cc1c(O)cc(cc1N(=O)=O)N(=O)=O,0,16,25,47,30,6.12,0.0,3.136,7.668,22.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,40,0,0,96,44,-0.0002819311711492,0.0004067234246368,-0.0009427120440705,2.6965716473149716e-05
OCCN=C1N=C(Nc2ccccc12)c1ccc(s1)N(=O)=O,1,18,30,52,30,12.24,0.0,6.272,7.668,13.359000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,62,0,0,152,76,-0.0063665592158043,0.0001292606720469,-0.0002185174243377,1.9819161187241862e-05
O=N(=O)c1ccc(cc1)S(=O)(=O)Nc2ccccn2,0,15,32,42,34,9.18,0.0,0.0,7.668,17.812,0.0,0.0,0.0,0.0,0.0,0.0,5.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,57,0,0,135,67,-0.0031499106585682,8.573722797868709e-05,-0.0002832913590628,1.863184512179556e-05
CSC(C)(C)C=NOC(=NC)O,0,14,33,33,12,14.28,0.0,21.952,7.668,8.906,0.0,0.0,0.0,0.0,0.0,0.0,5.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,38,0,0,88,40,-0.0093007651098496,0.0002204315562875,-0.0005077889052611,4.312047396135357e-05
CC(=O)NC1=CC(=CC=C1)O,1,17,38,30,12,9.18,0.0,6.272,3.834,8.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,27,0,0,71,39,-0.0113150143624968,0.000225587938113,-0.0008234501685659,7.21443248051394e-05
